Economy_Label,2016_TEU_Twenty_foot_Equivalent_Unit_Value,2017_TEU_Twenty_foot_Equivalent_Unit_Value,2018_TEU_Twenty_foot_Equivalent_Unit_Value,2019_TEU_Twenty_foot_Equivalent_Unit_Value,2020_TEU_Twenty_foot_Equivalent_Unit_Value,2021_TEU_Twenty_foot_Equivalent_Unit_Value
"Individual economies",,,,,,
"Albania",118829,118270,134526,145762,138477,
"Algeria",1832268,1726410,1844422,1793990,1551565,
"Angola",572298,735431,618238,700123,590128,628348
"Antigua and Barbuda",16193,17311,28826,27657,,
"Argentina",1713267,1809153,2184625,1833964,1705390,1798923
"Aruba",31323,31689,58500,63870,53171,57062
"Australia",7830344,7991508,8667914,8778913,8471033,9254248
"Bahamas",1261778,920652,1182836,1528297,1429694,1761742
"Bahrain",424602,400307,432207,418933,464010,404904
"Bangladesh",2387953,2583549,2946955,3145919,2897709,3271732
"Barbados",105321,107098,100952,98435,89460,93899
"Belgium",10321506,10783850,11503695,12389876,12697162,13095258
"Belize",46040,44381,47729,44510,,
"Brazil",8804079,9380502,10061925,10704669,10450632,11801530
"Bulgaria",206111,228545,241716,261934,254571,245160
"Cabo Verde",62112,74554,84041,91683,76139,79754
"Cambodia",400187,459835,537107,639211,641842,732387
"Cameroon",370000,386367,387000,370685,366667,
"Canada",5727822,6377236,6763247,7000133,6298023,7169607
"Cayman Islands",60718,61940,,,,
"Chile",4170283,4407502,4661486,4641633,4217172,4335451
"China",202830580,218712874,229127700,237570000,240480000,256945700
"China, Hong Kong SAR",19580000,20760000,19641000,18360000,17953000,17772000
"China, Taiwan Province of",14865306,14911753,15321716,15298285,14593553,15453000
"Colombia",3452348,3877937,4181330,4316862,4272689,4901510
"Congo",562889,650000,739000,921000,930000,1003734
"Costa Rica",1338979,1489326,1492791,1300785,1509599,1523198
"Cote d'Ivoire",885750,907646,924596,994646,979517,1042418
"Croatia",246596,288235,302126,348435,376981,379623
"Cuba",325319,332240,349722,322431,255362,246352
"Curacao",98278,93921,96738,,89305,92640
"Cyprus",360841,345016,416502,389962,390504,319131
"Dem. Rep. of the Congo",59133,52066,55599,42211,,
"Denmark",715076,820139,833857,880039,933622,1054552
"Djibouti",987400,928000,859000,917000,860000,692000
"Dominican Republic",1486227,1770295,1906487,1894225,1781939,2184754
"Ecuador",1907090,1990210,2212486,2194042,2517104,2632031
"Egypt",5887541,6337413,6701763,7403472,7564385,7226065
"El Salvador",202165,209903,230989,249472,228334,294326
"Equatorial Guinea",14281,13301,14716,13851,6207,
"Estonia",204177,229905,239576,241361,213928,226689
"Finland",1509479,1630089,1594271,1628170,1496192,1409037
"France",4471870,4964947,5051326,4992918,4435697,5522541
"French Guiana",56953,57029,64817,58543,58376,68000
"French Polynesia",77295,,83288,87575,79480,80220
"Gabon",146000,156000,141649,154330,180000,
"Georgia",251011,,348240,601491,490670,401269
"Germany",15126366,15163474,15123221,15022386,13946212,14710963
"Ghana",942463,1009755,1056785,1079247,1324504,1604724
"Greece",4088425,4602808,5395401,6151556,6188061,6077102
"Grenada",19634,21914,23887,12343,,22117
"Guadeloupe",212000,209633,223789,206959,220233,238680
"Guam",198209,198681,181846,,84954,
"Guatemala",1470101,1389751,1530596,1529010,1577456,1735500
"Guinea",176167,203373,237366,248659,250000,
"Guyana",50476,57663,58210,58543,64241,58377
"Haiti",176879,177141,163500,185000,189500,193900
"Honduras",756641,797293,813164,790707,700066,824876
"Iceland",308660,350348,353300,330292,320000,360000
"India",13724110,15450523,16996593,17487621,17597062,19561769
"Indonesia",10608853,11314273,12616970,12704578,11771309,13008301
"Iran (Islamic Republic of)",2462028,3091066,2368914,,,
"Ireland",916833,958488,1000560,1063489,1058888,1143007
"Israel",2711000,2868000,2946000,2917000,2994000,3038827
"Italy",10589293,10666550,10620925,10789337,10696962,11303247
"Jamaica",1567442,1560000,1833053,1647609,1631011,1975401
"Japan",21678076,22795394,23424446,23276482,21568959,22353354
"Jordan",792841,796087,815354,798160,857283,765662
"Kenya",1091000,1190000,1306283,1417000,1359579,1435565
"Latvia",388260,449712,474393,449850,457342,434146
"Lebanon",1147219,1305038,1332990,1293888,832954,675301
"Libya",124050,105636,,265098,343599,422100
"Lithuania",443000,472000,749066,703000,639006,666775
"Malaysia",24569452,23719787,24955994,26215322,26669483,28261849
"Malta",3151939,3245812,3414328,2813023,2539087,3075918
"Martinique",153453,160587,258783,178277,164495,171127
"Mauritius",388514,379371,451446,469011,438078,436398
"Mayotte",63660,71564,108392,74491,73658,
"Mexico",5678854,6375338,6983149,7113878,6487264,7852417
"Montenegro",30211,43732,15998,15744,,38352
"Morocco",4106683,4509580,4715747,6068803,7000928,8457129
"Mozambique",,,372218,411938,417459,440582
"Myanmar",1026216,1043469,1104101,1128353,1095247,694016
"Namibia",203071,205991,182655,149464,148642,155980
"Netherlands (Kingdom of the)",12612142,13992474,14802257,15198050,14757227,15781756
"Netherlands Antilles",,,,,,
"New Caledonia",108500,113000,110750,111875,,107834
"New Zealand",3000696,3198925,3382305,3430977,3445621,3249262
"Nicaragua",156900,190756,174403,175370,172798,172544
"Nigeria",1272000,1408000,1560000,1627142,1548622,1566109
"Norway",716916,764093,802364,837457,835398,881238
"Oman",3943846,4785012,4210679,4900767,5146009,5238968
"Pakistan",3074000,3284000,3249000,3150000,3161000,3548000
"Panama",6261878,6929242,6872055,7346859,7735214,8623927
"Papua New Guinea",,177122,170053,,204518,
"Peru",2321062,2539720,2667974,2677239,2651281,2874109
"Philippines",7560607,8249852,8859565,9333428,8019642,8674859
"Poland",2032761,2384782,2834296,3046483,2915937,3187943
"Portugal",2912946,3124946,3168513,2907005,2986021,3294407
"Puerto Rico",1210500,1319572,1447616,1451950,1490218,1490218
"Qatar",527952,772800,1340000,1340000,1412689,1543591
"Republic of Korea",25945418,27420698,28874930,28959959,28834192,29786900
"Reunion",324673,331300,336246,374848,367000,392937
"Romania",711339,696438,668016,666036,643025,631964
"Russian Federation",3472382,4303955,4726726,4967133,4921319,5260849
"Saint Lucia",38383,29706,33657,39238,35721,35521
"Saint Vincent and the Grenadines",18236,17502,18107,18222,18222,
