Economy_Label,Q1 2016_Index_Average_Q1_2023__100_Value,Q1 2017_Index_Average_Q1_2023__100_Value,Q1 2018_Index_Average_Q1_2023__100_Value,Q1 2019_Index_Average_Q1_2023__100_Value,Q1 2020_Index_Average_Q1_2023__100_Value,Q1 2021_Index_Average_Q1_2023__100_Value
"Albania",17.09,18.77,14.29,15.11,18.37,14.58
"Algeria",77.16,73.04,71.06,64.58,69.43,67.37
"American Samoa",25.4,25.4,25.86,25.73,28.66,28.39
"Angola",82.42,76.41,69.47,61.76,69.35,56.76
"Anguilla",15.92,18.31,18.3,13.99,13.99,13.99
"Antigua and Barbuda",20.11,15.53,19.03,14.85,18.43,18.43
"Argentina",101.04,101.87,105.25,99.67,96.12,96.61
"Aruba",32.41,23.63,30.66,32.92,28.98,31.5
"Australia",157.43,148.41,142.54,146.34,138.6,148.55
"Bahamas",74.59,75.14,72.57,73.19,84.83,87.9
"Bahrain",50.06,29.66,51.4,45.75,24.03,48.91
"Bangladesh",56.83,57.61,64.03,63.88,63.63,75.37
"Barbados",35.28,40.83,36.76,34.36,32.57,35.93
"Belgium",398.68,406.39,377.66,370.08,370.28,360.28
"Belize",27.42,29.65,28.3,29.35,27.67,22.43
"Benin",62.42,55.06,63.69,59.31,58.02,65.95
"Bermuda",7.77,7.77,7.77,7.77,7.98,7.98
"Bonaire, Sint Eustatius and Saba",19.99,11.6,11.6,9.87,9.87,9.8
"Brazil",128.55,115.79,120.01,115.84,117.55,119.26
"British Virgin Islands",11.73,20.04,22.86,20.37,21.94,17.62
"Brunei Darussalam",24.28,26.68,18.89,22,22.26,18.7
"Bulgaria",22.98,25.82,25.42,24.41,24.07,21.77
"Cabo Verde",14,11.87,19.69,20.05,11.87,11.64
"Cambodia",34.46,35.42,29.44,34.29,34.55,38.13
"Cameroon",56.82,59.88,55.08,70.68,53.89,63.84
"Canada",152.27,154.8,160.19,156.43,163.12,159.21
"Cayman Islands",6.67,6.67,6.67,8.79,8.79,8.46
"Chile",93.81,97.64,100.65,100.17,91.16,92.42
"China",924.42,901.94,965.65,985.63,1002.65,1045.98
"China, Hong Kong SAR",477.72,467.65,473.64,446.99,437.18,438.58
"China, Taiwan Province of",349.73,335.35,347.46,355.96,354.64,359.14
"Christmas Island",,4.34,4.34,4.34,4.34,4.34
"Colombia",196.66,182.42,180.71,165.8,173.39,181.87
"Comoros",20.39,14.71,15.47,18.73,20.55,15.98
"Congo",69.84,78.08,70.89,62.76,73.84,65.27
"Cook Islands",10.69,7.73,7.73,7.73,9.67,9.32
"Costa Rica",89.76,84.98,85.72,81.79,90.39,93.11
"Cote d'Ivoire",83.37,76.88,66.27,63.75,69.2,71.04
"Croatia",60.86,63.52,63.59,56.41,60.96,60.83
"Cuba",32.73,37.11,36.08,31.27,23.83,25.54
"Curacao",38.82,23.63,30.66,32.11,28.98,31.5
"Cyprus",57.05,52.58,47.88,55.78,56.63,52.98
"Dem. Rep. of the Congo",25.91,24.57,17.27,23.7,22.15,19.55
"Denmark",101.16,95.05,102.24,103.13,97.67,96.81
"Djibouti",84.77,84.69,88.35,77.08,73.96,74.52
"Dominica",24.57,18.22,18.22,21.77,25.37,25.37
"Dominican Republic",122.09,129.39,141.91,131.54,129.15,124.8
"Ecuador",103.01,102.69,101.51,103.69,111.92,105.91
"Egypt",250.63,228.82,223.87,219.55,213.25,215.19
"El Salvador",27.11,30.27,33.83,33.72,25.32,25.18
"Equatorial Guinea",21.57,32.53,32.73,34.98,35.76,35.53
"Eritrea",5.49,5.49,5.49,9.41,9.64,12.21
"Estonia",33.51,37.08,34.86,36.76,35.44,31.59
"Faroe Islands",13.76,13.76,14.9,16.17,13.72,17.04
"Fiji",39.87,41.02,42.91,37.5,37.59,35.79
"Finland",96.69,83.06,85.82,78.43,69.11,69.26
"France",298.93,279.85,288.44,286.29,284.98,278.79
"French Guiana",16.82,16.77,18.12,17.44,16.7,16.53
"French Polynesia",38.93,39.81,37.61,35.92,39.69,40.27
"Gabon",37.42,42.93,38.9,41.68,38.91,32.93
"Gambia",25.92,21.42,20.79,16.25,15.5,15.47
"Georgia",18.57,19.85,21.1,21.6,22.31,19.6
"Germany",405.58,381.03,374.1,357.05,345.98,337.95
"Ghana",88.57,80.03,75.27,74.99,93.57,108.08
"Gibraltar",7.01,7.01,7.01,5.36,7.39,7.39
"Greece",135.64,142.06,184.92,176.22,181.58,183.9
"Greenland",5.63,5.52,5.52,5.52,5.52,12.73
"Grenada",31.43,23.04,21.63,21.18,24.82,24.79
"Guadeloupe",41.31,45.53,43.26,43.26,48.91,52.09
"Guam",27.64,26.78,22.17,22.3,23.54,22.75
