Economy_Label,2016_Percentage_of_total_world_Value,2017_Percentage_of_total_world_Value,2018_Percentage_of_total_world_Value,2019_Percentage_of_total_world_Value,2020_Percentage_of_total_world_Value,2021_Percentage_of_total_world_Value
"Individual economies",,,,,,
"Albania",0,0,0,0,0,0
"Algeria",0,0,0.014,0.014,0.013,0.013
"Angola",0,0,0,0,0,0
"Anguilla",0,0,0,0,0,0
"Antigua and Barbuda",2.036,1.646,1.174,0.832,0.703,0.668
"Argentina",0.006,0.006,0.006,0.006,0.005,0.005
"Aruba",,,,,,0
"Australia",0,0,0,0,0,0
"Austria",0,0,0,0,0,0
"Azerbaijan",0,0,0,0,0,0
"Bahamas",0.604,0.595,0.477,0.47,0.629,0.526
"Bahrain",0.094,0.073,0.004,0.003,0,0
"Bangladesh",0.01,0.011,0.006,0.006,0.006,0.023
"Barbados",0.002,0,0,0,0,0
"Belarus",0,0,0,0,0,0
"Belgium",0,0,0,0,0.095,0.117
"Belize",0.012,0.009,0.013,0.011,0.013,0.002
"Benin",0,0,0,0,0,0
"Bermuda",0.075,0.137,0.211,0.201,0.212,0.207
"Bolivia (Plurinational State of)",0,0,0,0,0,0
"Brazil",0.283,0.281,0.245,0.279,0.284,0.279
"British Virgin Islands",0,0,0,0,0,0
"Brunei Darussalam",0,0,0,0,0,0
"Bulgaria",0,0,0,0,0,0
"Cabo Verde",0,0,0,0,0,0
"Cambodia",0.017,0.008,0.005,0.005,0.005,0.005
"Cameroon",0,0,0,0,0,0.013
"Canada",0.006,0.006,0.006,0.006,0.005,0.005
"Cayman Islands",0,0,0,0,0,0.023
"Chile",0.016,0.052,0.05,0.048,0.046,0.045
"China",2.771,2.841,3.463,3.678,3.797,3.972
"China, Hong Kong SAR",11.936,12.287,12.735,14.127,14.214,13.99
"China, Macao SAR",0,0,0,0,0,0
"China, Taiwan Province of",0.716,0.704,0.734,0.803,0.805,0.784
"Colombia",0,0,0,0,0,0
"Comoros",0.002,0.009,0.028,0.031,0.228,0.03
"Congo",0,0,0,0,0,0
"Cook Islands",0.015,0.014,0.011,0.006,0.002,0.002
"Costa Rica",0,0,0,0,0,0
"Cote d'Ivoire",0,0,0,0,0,0
"Croatia",0,0,0,0,0,0
"Cuba",0,0,0,0,0,0
"Curacao",0,0,0,0,0,0
"Cyprus",1.926,1.91,1.914,1.845,1.934,1.763
"Czechoslovakia",,,,,,
"Dem. People's Rep. of Korea",0.006,0.009,0.011,0.01,0.01,0.01
"Dem. Rep. of the Congo",0,0,0,0,0,0
"Democratic Republic of Germany",,,,,,
"Denmark",4.665,4.653,5.146,6.159,6.034,5.841
"Djibouti",0,0,0,0,0,0.005
"Dominica",0,0,0,0,0,0
"Dominican Republic",0,0,0,0.003,0.003,0.003
"Ecuador",0,0,0.002,0.002,0.002,0.002
"Egypt",0.044,0.061,0.059,0.047,0.052,0.053
"El Salvador",0,0,0,0,0,0
"Equatorial Guinea",0.004,0.004,0.004,0,0,0
"Eritrea",0,0,0,0,0,0
"Estonia",0,0,0,0,0,0
"Ethiopia",0,0,0,0,0,0
"Ethiopia (...1991)",,,,,,
"Falkland Islands (Malvinas)",0,0,0,0,0,0
"Faroe Islands",0.009,0.009,0.012,0.029,0.028,0.034
"Federal Republic of Germany",,,,,,
"Fiji",0,0,0,0,0,0
"Finland",0.006,0.006,0.005,0.005,0.005,0.005
"France",0.958,0.911,0.883,0.956,1.017,1.109
"French Polynesia",0,0,0,0,0,0
"French Southern Territories",,0.041,0.04,0,0,0
"Gabon",0,0,0.009,0.009,0,0
"Gambia",0,0,0,0,0,0
"Georgia",0,0,0,0,0,0
"Germany",4.008,3.743,3.345,2.66,2.67,2.416
"Ghana",0,0,0,0,0,0
"Gibraltar",0.349,0.276,0.145,0.128,0.124,0.102
"Greece",0.335,0.275,0.222,0.197,0.195,0.152
"Greenland",0,0,0,0,0,0
"Grenada",0,0,0,0,0,0
"Guam",0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0
"Guinea",0,0,0,0,0,0
"Guinea-Bissau",0,0,0,0,0,0
"Guyana",0,0,0,0,0,0
"Haiti",0,0,0,0,0,0
"Honduras",0.001,0,0,0,0,0
"Hungary",,,,0,0,0
"Iceland",0,0,0,0,0,0
"India",0.162,0.206,0.221,0.258,0.243,0.229
"Indonesia",0.73,0.799,0.945,0.912,0.886,0.883
"Indonesia (...2002)",,,,,,
"Iran (Islamic Republic of)",0.462,0.494,0.444,0.423,0.421,0.62
"Iraq",0,0,0,0,0,0
"Ireland",0,0,0,0,0,0
"Isle of Man",0.48,0.534,0.204,0.163,0.183,0.179
"Israel",0.118,0.117,0.114,0.108,0.113,0.11
"Italy",0.255,0.254,0.246,0.214,0.168,0.164
"Jamaica",0.018,0.033,0.032,0.031,0.025,0.016
"Japan",0.174,0.289,0.372,0.592,0.826,0.882
"Jordan",0,0,0,0,0,0
"Kazakhstan",0,0,0,0,0,0
"Kenya",0,0,0,0,0,0
"Kiribati",0.001,0,0,0,0,0
"Kuwait",0.094,0,0,0,0,0
"Lao People's Dem. Rep.",0,0,0,0,0,0
"Latvia",0,0,0,0,0,0
"Lebanon",0,0.002,0.002,0.002,0,0
"Liberia",19.266,18.408,17.799,17.272,17.296,17.268
"Libya",0,0,0,0,0,0
"Lithuania",0.009,0.009,0.013,0.012,0.017,0.016
"Luxembourg",0.592,0.455,0.222,0.088,0.009,0.008
"Madagascar",0,0,0,0,0,0
"Malaysia",0.09,0.131,0.1,0.106,0.123,0.131
"Maldives",0.002,0.002,0,0,0,0
"Malta",6.109,6.547,6.801,6.75,8.307,8.339
"Marshall Islands",5.585,5.36,5.626,5.399,5.103,4.876
"Mauritania",0,0,0,0,0,0
"Mauritius",0,0,0,0,0,0
"Mexico",0,0,0,0,0,0.002
"Micronesia (Federated States of)",0,0,0,0,0,0
"Monaco",0,0,0,0,0,0
"Mongolia",0.016,0.011,0.011,0.011,0.012,0.017
"Montenegro",0,0,0,0,0,0
"Morocco",0.038,0.028,0.031,0.023,0.034,0.03
"Mozambique",0,0,0,0,0,0
"Myanmar",0,0,0,0,0,0
