Economy_Label,Partner_Label,Index_Value,Index_Footnote,Index_MissingValue
"Albania","Albania",,,"Not applicable"
"Albania","Algeria",0.17,,
"Albania","American Samoa",0.1,,
"Albania","Angola",0.1,,
"Albania","Antigua and Barbuda",0.09,,
"Albania","Argentina",0.1,,
"Albania","Aruba",0.09,,
"Albania","Australia",0.17,,
"Albania","Bahamas",0.17,,
"Albania","Bahrain",0.09,,
"Albania","Bangladesh",0.1,,
"Albania","Barbados",0.1,,
"Albania","Belgium",0.19,,
"Albania","Belize",0.09,,
"Albania","Benin",0.17,,
"Albania","Bermuda",0.07,,
"Albania","Bonaire, Sint Eustatius and Saba",0.08,,
"Albania","Brazil",0.18,,
"Albania","British Virgin Islands",0.08,,
"Albania","Brunei Darussalam",0.09,,
"Albania","Bulgaria",0.17,,
"Albania","Cabo Verde",0.09,,
"Albania","Cambodia",0.1,,
"Albania","Cameroon",0.17,,
"Albania","Canada",0.18,,
"Albania","Cayman Islands",0.08,,
"Albania","Chile",0.1,,
"Albania","China",0.19,,
"Albania","China, Hong Kong SAR",0.18,,
"Albania","China, Taiwan Province of",0.19,,
"Albania","Christmas Island",0.08,,
"Albania","Colombia",0.18,,
"Albania","Comoros",0.09,,
"Albania","Congo",0.1,,
"Albania","Cook Islands",0.08,,
"Albania","Costa Rica",0.17,,
"Albania","Cote d'Ivoire",0.18,,
"Albania","Croatia",0.17,,
"Albania","Cuba",0.16,,
"Albania","Curacao",0.1,,
"Albania","Cyprus",0.17,,
"Albania","Dem. Rep. of the Congo",0.09,,
"Albania","Denmark",0.1,,
"Albania","Djibouti",0.17,,
"Albania","Dominica",0.09,,
"Albania","Dominican Republic",0.18,,
"Albania","Ecuador",0.18,,
"Albania","Egypt",0.25,,
"Albania","El Salvador",0.09,,
"Albania","Equatorial Guinea",0.1,,
"Albania","Eritrea",0.08,,
"Albania","Estonia",0.1,,
"Albania","Faroe Islands",0.09,,
"Albania","Fiji",0.1,,
"Albania","Finland",0.17,,
"Albania","France",0.19,,
"Albania","French Guiana",0.1,,
"Albania","French Polynesia",0.1,,
"Albania","Gabon",0.1,,
"Albania","Gambia",0.09,,
"Albania","Georgia",0.17,,
"Albania","Germany",0.19,,
"Albania","Ghana",0.18,,
"Albania","Gibraltar",0.08,,
"Albania","Greece",0.25,,
