Economy_Label,CargoType_Label,2016_Metric_tons_in_thousands_Value,2017_Metric_tons_in_thousands_Value,2018_Metric_tons_in_thousands_Value,2019_Metric_tons_in_thousands_Value,2020_Metric_tons_in_thousands_Value,2021_Metric_tons_in_thousands_Value
"Individual economies","Total goods loaded",,,,,,
"Individual economies","Total goods discharged",,,,,,
"Afghanistan","Total goods loaded",1035,1028,1388,1482,755,1604
"Afghanistan","Total goods discharged",4301,6533,6255,9226,8191,8555
"Albania","Total goods loaded",1749,1591,1713,1848,1722,1767
"Albania","Total goods discharged",2113,1536,1480,1779,2147,1954
"Algeria","Total goods loaded",85618,82100,82380,76069,63367,79827
"Algeria","Total goods discharged",31537,30424,28299,29371,24108,22629
"American Samoa","Total goods loaded",57,19,78,23,15,37
"American Samoa","Total goods discharged",251,189,151,193,131,138
"Andorra","Total goods loaded",,,,,,
"Andorra","Total goods discharged",97,106,109,102,84,90
"Angola","Total goods loaded",82557,83036,77912,72033,64070,59579
"Angola","Total goods discharged",10205,9438,9180,8436,5761,7194
"Anguilla","Total goods loaded",7,5,9,6,3,5
"Anguilla","Total goods discharged",99,107,116,117,118,126
"Antigua and Barbuda","Total goods loaded",226,200,234,282,195,316
"Antigua and Barbuda","Total goods discharged",250,366,232,222,271,339
"Argentina","Total goods loaded",98302,95869,84646,110499,107053,106540
"Argentina","Total goods discharged",28897,31897,32899,24425,24608,31690
"Armenia","Total goods loaded",465,487,477,628,704,642
"Armenia","Total goods discharged",1824,2046,2101,2321,2378,2479
"Aruba","Total goods loaded",392,373,116,178,415,424
"Aruba","Total goods discharged",508,520,555,654,453,490
"Australia","Total goods loaded",1370066,1411881,1444892,1429915,1448799,1455984
"Australia","Total goods discharged",93843,104172,107248,104217,95083,103070
"Austria","Total goods loaded",47022,47956,47263,49120,46645,48018
"Austria","Total goods discharged",48375,49498,46089,46268,44517,44444
"Azerbaijan","Total goods loaded",33751,34750,33864,29783,28325,33720
"Azerbaijan","Total goods discharged",2502,2493,3099,3898,2591,2901
"Bahamas","Total goods loaded",3507,3622,4291,4132,5232,4705
"Bahamas","Total goods discharged",1279,1700,3461,3474,1750,2235
"Bahrain","Total goods loaded",10955,13319,16739,20820,15927,19027
"Bahrain","Total goods discharged",19995,22007,25963,25944,22888,18984
"Bangladesh","Total goods loaded",2528,2560,2645,2682,2688,3465
"Bangladesh","Total goods discharged",49342,56659,59464,63331,67192,68396
"Barbados","Total goods loaded",494,521,472,394,302,362
"Barbados","Total goods discharged",1146,1126,1195,1022,1160,1163
"Belarus","Total goods loaded",26805,29512,29219,29486,30137,31544
"Belarus","Total goods discharged",43263,47052,49414,48583,39037,12370
"Belgium","Total goods loaded",177217,192041,182836,181100,172180,188155
"Belgium","Total goods discharged",192102,199974,206951,196435,181490,198932
"Belize","Total goods loaded",428,406,407,574,792,376
"Belize","Total goods discharged",900,876,911,1020,848,970
"Benin","Total goods loaded",455,504,629,890,871,956
"Benin","Total goods discharged",4143,4764,4826,4709,4142,4949
"Bermuda","Total goods loaded",285,149,222,106,115,61
"Bermuda","Total goods discharged",421,494,441,408,281,282
"Bhutan","Total goods loaded",139,200,376,440,307,359
"Bhutan","Total goods discharged",,,,,,
"Bolivia (Plurinational State of)","Total goods loaded",8704,8021,7781,7436,7123,7076
"Bolivia (Plurinational State of)","Total goods discharged",3984,4101,3961,3921,2715,3895
"Bonaire, Sint Eustatius and Saba","Total goods loaded",61,140,94,280,108,236
"Bonaire, Sint Eustatius and Saba","Total goods discharged",1440,922,1105,850,669,958
"Bosnia and Herzegovina","Total goods loaded",3934,4247,4199,4010,3638,4233
"Bosnia and Herzegovina","Total goods discharged",5450,5578,5531,5097,4686,5002
"Botswana","Total goods loaded",510,511,524,519,530,617
"Botswana","Total goods discharged",2587,2415,2606,2715,2712,2856
"Bouvet Island","Total goods loaded",1,0,0,0,0,0
"Bouvet Island","Total goods discharged",0,0,0,0,0,0
"Brazil","Total goods loaded",630304,656496,678649,669650,673832,677201
"Brazil","Total goods discharged",124996,137084,141342,143487,133487,166675
"British Antarctic Territory","Total goods loaded",,0,0,0,0,0
"British Antarctic Territory","Total goods discharged",0,,,,,0
"British Indian Ocean Territory","Total goods loaded",3,6,6,137,4,1
"British Indian Ocean Territory","Total goods discharged",43,128,71,42,15,46
"British Virgin Islands","Total goods loaded",153,203,380,108,93,72
"British Virgin Islands","Total goods discharged",676,640,664,499,433,482
"Brunei Darussalam","Total goods loaded",12524,12667,12500,13514,18991,18222
"Brunei Darussalam","Total goods discharged",2779,3224,3023,4610,6535,11051
"Bulgaria","Total goods loaded",15729,16378,14758,16834,15489,15572
"Bulgaria","Total goods discharged",16128,16967,16046,17727,16177,16671
"Burkina Faso","Total goods loaded",295,281,267,556,260,266
"Burkina Faso","Total goods discharged",2302,2547,2675,2454,2763,2949
"Burundi","Total goods loaded",24,18,33,26,36,23
"Burundi","Total goods discharged",334,395,437,474,509,528
"Cabo Verde","Total goods loaded",37,30,36,37,31,36
"Cabo Verde","Total goods discharged",842,879,884,2048,1704,1699
"Cambodia","Total goods loaded",,,,,,
"Cambodia","Total goods discharged",6744,5956,6832,13138,11514,10597
"Cameroon","Total goods loaded",5592,5023,5235,7058,7253,6446
"Cameroon","Total goods discharged",4117,4591,4771,5752,5163,5518
"Canada","Total goods loaded",216206,224641,230569,239057,255196,252850
"Canada","Total goods discharged",75944,81129,97889,94296,82498,89564
"Cayman Islands","Total goods loaded",72,197,71,70,78,157
"Cayman Islands","Total goods discharged",,,,,589,737
"Central African Republic","Total goods loaded",103,115,65,49,58,51
"Central African Republic","Total goods discharged",70,79,82,161,145,88
"Chad","Total goods loaded",5475,2927,2877,2154,4053,3988
"Chad","Total goods discharged",174,119,223,224,223,206
"Chile","Total goods loaded",59468,55588,61225,54176,57297,59792
"Chile","Total goods discharged",51237,51450,54622,54678,50792,58993
"China","Total goods loaded",493558,478634,480021,481580,451359,513685
"China","Total goods discharged",2098203,2331312,2411151,2509507,2760376,2666686
"China, Hong Kong SAR","Total goods loaded",6109,6577,6439,6215,6146,6862
"China, Hong Kong SAR","Total goods discharged",49071,62143,60000,57833,47836,46162
"China, Macao SAR","Total goods loaded",182,192,134,126,92,96
"China, Macao SAR","Total goods discharged",2083,2796,3190,2245,4074,5417
"China, Taiwan Province of","Total goods loaded",59684,60188,61285,62834,58395,61816
"China, Taiwan Province of","Total goods discharged",250001,252784,252865,242683,230665,248272
"Christmas Island","Total goods loaded",144,141,162,101,59,54
"Christmas Island","Total goods discharged",22,19,21,17,17,18
"Cocos (Keeling) Islands","Total goods loaded",2,1,1,0,1,1
"Cocos (Keeling) Islands","Total goods discharged",1,1,1,1,2,3
"Colombia","Total goods loaded",138359,128288,123609,115342,103394,98454
"Colombia","Total goods discharged",34103,31469,31718,33935,30777,33117
"Comoros","Total goods loaded",,,,,,
"Comoros","Total goods discharged",319,411,367,390,448,608
"Congo","Total goods loaded",10940,12497,17013,17093,13566,13781
"Congo","Total goods discharged",3006,2147,1554,1327,1485,1394
"Cook Islands","Total goods loaded",11,9,6,5,4,4
"Cook Islands","Total goods discharged",,,,,,
"Costa Rica","Total goods loaded",5678,6141,6464,6583,5996,6922
"Costa Rica","Total goods discharged",9670,9935,9939,9748,9006,9986
"Cote d'Ivoire","Total goods loaded",5867,6204,6037,6774,6118,6552
"Cote d'Ivoire","Total goods discharged",12392,13573,14655,14072,15489,17218
"Croatia","Total goods loaded",7866,8535,8614,8209,8920,10483
"Croatia","Total goods discharged",12814,13244,13193,13672,13025,14566
"Cuba","Total goods loaded",1240,1842,1113,1477,1710,971
"Cuba","Total goods discharged",8470,9596,10296,8938,8399,8356
"Curacao","Total goods loaded",3100,2398,1139,844,909,1204
"Curacao","Total goods discharged",2701,1254,2025,518,608,690
"Cyprus","Total goods loaded",4015,4805,4760,4360,5097,3985
"Cyprus","Total goods discharged",6235,6896,7180,6597,6227,6414
"Czechia","Total goods loaded",23486,24698,25439,26042,26784,28200
"Czechia","Total goods discharged",42396,45203,45230,44700,40306,45126
"Dem. People's Rep. of Korea","Total goods loaded",4724,3530,264,240,142,213
"Dem. People's Rep. of Korea","Total goods discharged",3545,3109,2040,2670,991,406
"Dem. Rep. of the Congo","Total goods loaded",1723,2151,1964,2331,2907,3151
"Dem. Rep. of the Congo","Total goods discharged",3754,3662,4564,5192,5024,5799
"Denmark","Total goods loaded",27013,27582,27349,25874,26479,26982
"Denmark","Total goods discharged",32920,34721,37532,35761,34765,36566
"Djibouti","Total goods loaded",,,,,,
"Djibouti","Total goods discharged",293,575,1357,792,996,3638
"Dominica","Total goods loaded",107,60,100,121,126,96
"Dominica","Total goods discharged",157,177,196,220,134,130
"Dominican Republic","Total goods loaded",2391,2456,2421,2600,2315,2853
"Dominican Republic","Total goods discharged",16315,16232,17843,19277,17548,20751
"Ecuador","Total goods loaded",29367,27302,25617,27572,28816,29721
"Ecuador","Total goods discharged",13305,15027,16210,16528,14619,17942
"Egypt","Total goods loaded",30214,35834,39988,46070,45312,52340
"Egypt","Total goods discharged",56466,64842,69675,57839,56515,61285
"El Salvador","Total goods loaded",1894,2153,2078,2141,2010,2137
"El Salvador","Total goods discharged",6080,6211,6442,6808,5954,7328
"Equatorial Guinea","Total goods loaded",13776,12842,13160,11320,9470,10120
"Equatorial Guinea","Total goods discharged",833,680,722,607,795,618
"Eritrea","Total goods loaded",43,86,79,83,89,85
"Eritrea","Total goods discharged",,,,,,
"Estonia","Total goods loaded",9157,9871,10391,10702,9458,10497
"Estonia","Total goods discharged",7134,7253,8383,8376,8719,9533
"Eswatini","Total goods loaded",748,816,833,981,882,797
"Eswatini","Total goods discharged",659,711,684,718,680,758
"Ethiopia","Total goods loaded",591,651,648,770,679,642
"Ethiopia","Total goods discharged",8429,7146,6418,8172,8476,6271
"Falkland Islands (Malvinas)","Total goods loaded",54,69,89,102,75,85
"Falkland Islands (Malvinas)","Total goods discharged",53,58,56,43,62,52
"Faroe Islands","Total goods loaded",523,544,516,541,522,543
"Faroe Islands","Total goods discharged",,,,,,
"Fiji","Total goods loaded",1119,1172,1065,1149,1105,1125
"Fiji","Total goods discharged",2060,2088,2032,1988,1627,1472
"Finland","Total goods loaded",38617,38280,40124,41271,37780,37513
"Finland","Total goods discharged",48578,46639,49292,42484,44602,43453
"France","Total goods loaded",128511,130955,132510,129020,113363,121585
"France","Total goods discharged",268208,291907,263322,283499,243586,277701
"French Polynesia","Total goods loaded",23,19,28,29,22,24
"French Polynesia","Total goods discharged",708,720,762,780,743,860
"French Southern Territories","Total goods loaded",1,1,1,2,4,1
"French Southern Territories","Total goods discharged",9,11,7,8,21,6
"Gabon","Total goods loaded",13216,12007,11277,12088,10150,11032
"Gabon","Total goods discharged",1798,1343,1580,1823,1374,1406
"Gambia","Total goods loaded",189,229,108,196,132,127
"Gambia","Total goods discharged",1102,1121,1194,1246,1496,1397
"Georgia","Total goods loaded",1336,1480,1467,1637,1818,2467
"Georgia","Total goods discharged",3435,3705,3917,4238,3991,3879
"Germany","Total goods loaded",283689,297965,302457,265627,295122,311509
"Germany","Total goods discharged",581043,567412,580453,587491,546781,566558
"Ghana","Total goods loaded",6061,8834,11113,12327,11311,10439
"Ghana","Total goods discharged",5230,6948,6151,6756,6530,8850
"Gibraltar","Total goods loaded",358,133,127,46,178,70
"Gibraltar","Total goods discharged",19751,14453,11907,11270,16845,12290
"Greece","Total goods loaded",24469,28890,29411,29176,29375,32038
"Greece","Total goods discharged",48818,49623,52526,50056,48663,52997
"Greenland","Total goods loaded",246,277,278,260,275,315
"Greenland","Total goods discharged",333,344,294,290,413,315
"Grenada","Total goods loaded",22,24,26,23,19,21
"Grenada","Total goods discharged",291,274,268,304,254,308
"Guam","Total goods loaded",,,,,,
"Guam","Total goods discharged",1029,937,1185,1211,1049,1134
"Guatemala","Total goods loaded",6025,6093,5736,5838,5600,6084
"Guatemala","Total goods discharged",14343,14236,15042,17053,15558,18612
"Guinea","Total goods loaded",10151,16610,19013,20771,24929,22830
"Guinea","Total goods discharged",2713,2344,1989,1989,2149,2053
"Guinea-Bissau","Total goods loaded",202,139,73,130,156,164
"Guinea-Bissau","Total goods discharged",216,334,291,267,243,247
"Guyana","Total goods loaded",2227,2623,2856,2854,4784,7440
"Guyana","Total goods discharged",1455,1717,2144,2482,3432,3035
"Haiti","Total goods loaded",141,152,175,128,162,197
"Haiti","Total goods discharged",2602,3421,3063,3113,4545,4295
"Heard Island and McDonald Islands","Total goods loaded",0,0,0,0,0,0
"Heard Island and McDonald Islands","Total goods discharged",0,0,1,0,1,0
"Holy See","Total goods loaded",1,1,3,3,2,3
"Holy See","Total goods discharged",1,4,2,1,1,1
"Honduras","Total goods loaded",1962,2207,2277,2348,2252,2213
"Honduras","Total goods discharged",6187,6641,7255,7296,6704,8287
"Hungary","Total goods loaded",21430,22901,22311,24035,24919,23351
"Hungary","Total goods discharged",25320,28054,28115,31374,28629,28309
"Iceland","Total goods loaded",1278,1391,2352,1471,1256,1355
"Iceland","Total goods discharged",4714,5032,5324,4610,4035,4350
"India","Total goods loaded",123606,143596,136924,143293,155010,169667
"India","Total goods discharged",540760,556258,608474,624659,565652,598750
"Indonesia","Total goods loaded",428485,508525,544252,583558,570758,600041
"Indonesia","Total goods discharged",141601,149449,158704,148045,139097,162602
"Indonesia (...2002)","Total goods loaded",,,,,,
"Indonesia (...2002)","Total goods discharged",,,,,,
"Iran (Islamic Republic of)","Total goods loaded",117902,142079,122733,50360,20637,14656
"Iran (Islamic Republic of)","Total goods discharged",18157,18277,14188,15546,14402,16810
"Iraq","Total goods loaded",168528,179500,193980,196043,179328,173721
"Iraq","Total goods discharged",5771,6112,6432,6758,7110,7472
"Ireland","Total goods loaded",17383,17878,18916,19317,18743,20116
"Ireland","Total goods discharged",33448,35099,38085,35463,34356,24123
"Israel","Total goods loaded",15630,16763,16824,15826,14946,15986
"Israel","Total goods discharged",33667,39539,37007,35396,33614,36891
"Italy","Total goods loaded",94850,103740,102331,101491,94074,102490
"Italy","Total goods discharged",249831,256812,254236,249983,218552,243953
"Jamaica","Total goods loaded",6319,5713,6098,6152,5138,4603
"Jamaica","Total goods discharged",4732,6208,6124,6598,5377,5998
"Japan","Total goods loaded",179037,172893,168893,164367,148803,154977
"Japan","Total goods discharged",770897,771677,762539,740478,667206,704186
"Jordan","Total goods loaded",4845,5474,5078,5689,6056,6701
"Jordan","Total goods discharged",13960,12650,12723,12355,8315,8468
"Kazakhstan","Total goods loaded",85449,96513,97164,101430,105289,94451
"Kazakhstan","Total goods discharged",17386,19478,25822,26045,25422,19148
"Kenya","Total goods loaded",2166,2138,2235,2117,2417,2774
"Kenya","Total goods discharged",12478,14406,13510,15166,14649,15546
"Kiribati","Total goods loaded",88,85,68,58,69,66
"Kiribati","Total goods discharged",119,66,68,73,96,104
"Kuwait","Total goods loaded",134050,132340,136309,129303,123000,119938
"Kuwait","Total goods discharged",17796,17487,19652,20479,14953,15804
"Kyrgyzstan","Total goods loaded",282,332,446,459,392,434
"Kyrgyzstan","Total goods discharged",1698,2338,2483,2344,2085,2777
"Lao People's Dem. Rep.","Total goods loaded",1758,2097,2299,3062,3535,4664
"Lao People's Dem. Rep.","Total goods discharged",3289,3580,4137,5181,5226,6384
"Latvia","Total goods loaded",12773,12717,14112,12836,13880,14266
"Latvia","Total goods discharged",4081,4225,4835,4642,4977,5099
"Lebanon","Total goods loaded",,,,,,
"Lebanon","Total goods discharged",13058,14179,11362,15741,10855,9267
"Lesotho","Total goods loaded",146,132,108,128,126,123
"Lesotho","Total goods discharged",996,415,1013,1011,981,1113
"Liberia","Total goods loaded",1913,1317,2730,2850,3576,3143
"Liberia","Total goods discharged",5876,5638,6546,8493,9913,10819
"Libya","Total goods loaded",20861,42908,54355,56838,20125,60469
"Libya","Total goods discharged",7050,6419,7897,9301,7551,7804
"Lithuania","Total goods loaded",20722,21562,20025,20358,22227,22806
"Lithuania","Total goods discharged",21647,22725,22697,23612,21480,21902
"Luxembourg","Total goods loaded",8540,7856,7842,7724,7496,7838
"Luxembourg","Total goods discharged",12468,12479,13324,13020,11670,12967
"Madagascar","Total goods loaded",817,1162,1012,1039,1063,1273
"Madagascar","Total goods discharged",5525,6144,6022,6624,4685,6394
"Malawi","Total goods loaded",168,138,116,132,160,175
"Malawi","Total goods discharged",358,366,289,271,285,268
"Malaysia","Total goods loaded",182339,273564,244273,202353,227359,284049
"Malaysia","Total goods discharged",134571,151033,157249,158843,153024,152122
