Origin_Label,Destination_Label,Product_Code,TFT_Forecast_Year+1,TFT_Forecast_Year+2
Afghanistan,Austria,6109,1.7030796,2.8524969
Afghanistan,Italy,8517,8.153221,9.295257
Afghanistan,Netherlands (Kingdom of the),8517,4.098089,4.0100923
Afghanistan,United Arab Emirates,8517,3.3064282,11.461485
Afghanistan,United States of America,8517,6.7703605,6.9442363
Albania,Andorra,6109,4.0250883,3.8191535
Albania,Austria,6109,3.2394161,2.1112413
Albania,Austria,8517,7.534741,7.4451475
Albania,Bahrain,6109,3.395357,3.322541
Albania,Belarus,6109,1.7844831,1.912407
Albania,Bulgaria,8517,26.826492,26.104488
Albania,Bulgaria,9404,0.3166416,0.28767148
Albania,"China, Hong Kong SAR",8517,9.6657505,17.09982
Albania,"China, Macao SAR",6109,5.837112,6.5473695
Albania,China,6109,9.787228,9.54405
Albania,Colombia,6109,7.1451354,5.273903
Albania,Croatia,6109,1.8505422,1.8601056
Albania,Czechia,8517,96.315674,70.67686
Albania,Finland,6109,3.6695457,3.384625
Albania,France,6109,2.23519,1.6615077
Albania,France,8517,20.230774,27.040306
Albania,French Polynesia,2106,1.0253077,1.0182514
Albania,Germany,2106,1.0873297,0.99994504
Albania,Germany,6109,1.3769859,1.4596945
Albania,Ireland,6109,1.4871823,1.6840622
Albania,Italy,2106,0.34604296,0.30515796
Albania,Italy,6109,0.8444111,0.87071854
Albania,Italy,8517,5.932866,2.188638
Albania,Italy,9404,0.4468208,0.27581263
Albania,Kazakhstan,6109,6.61432,3.9558523
Albania,"Korea, Republic of",2106,0.9369386,0.7300071
Albania,"Korea, Republic of",6109,4.622056,4.786842
Albania,Kuwait,6109,3.417208,2.9871376
Albania,Lebanon,6109,2.655108,2.6477804
Albania,"Moldova, Republic of",6109,2.5334623,2.5104613
Albania,Montenegro,6109,2.148234,2.5149877
Albania,Montenegro,9404,0.24595286,0.21814018
Albania,Netherlands (Kingdom of the),6109,2.1883078,2.1808457
Albania,Netherlands (Kingdom of the),8517,11.242765,7.9102163
Albania,North Macedonia,6109,2.41308,2.348202
Albania,North Macedonia,9404,0.4019275,0.39318973
Albania,Norway,6109,3.7955213,3.788048
Albania,Poland,6109,2.9362605,2.9087234
Albania,Russian Federation,6109,2.4621975,2.5016108
Albania,Singapore,6109,1.4680752,1.4087833
Albania,"Switzerland, Liechtenstein",6109,2.349825,2.4140055
Albania,"Switzerland, Liechtenstein",9404,0.6046791,0.28598845
Albania,Turkiye,6109,7.24766,2.931373
Albania,Ukraine,6109,1.9444641,2.012617
Albania,United Arab Emirates,2106,0.10311171,0.10909125
Albania,United Arab Emirates,6109,2.7267125,2.0941658
Albania,United States of America,6109,2.2138247,2.3105521
Algeria,"China, Hong Kong SAR",8517,17.747818,15.574287
Algeria,France,2106,0.2754674,0.15308733
Algeria,France,8517,11.978414,24.4052
Algeria,Libya,2106,0.20396803,0.16989273
Algeria,Mali,2106,0.20188905,0.19945765
Algeria,Mali,3304,0.1408812,0.08980036
Algeria,Mauritania,3304,0.04664612,0.044540145
Algeria,Netherlands (Kingdom of the),2106,0.72083485,0.4456333
Algeria,Netherlands (Kingdom of the),8517,5.489348,5.551281
Algeria,Niger,9404,0.22340491,0.2071335
Algeria,Russian Federation,8517,15.930805,17.095024
Algeria,United Arab Emirates,8517,6.491027,5.8992314
American Samoa,Guinea,9404,0.17061469,0.17765078
American Samoa,Samoa,2106,0.09800456,0.08974147
American Samoa,Samoa,8517,60.905853,59.955647
American Samoa,Samoa,9404,0.45839912,0.45323977
Andorra,Austria,6109,1.8818598,3.5400474
Andorra,France,3304,1.4921682,1.4481672
Andorra,France,6109,3.5041542,2.5409162
Andorra,Netherlands (Kingdom of the),8517,12.675104,12.851857
Andorra,Palau,8517,4.377461,4.5193505
Andorra,Palau,9404,0.52770346,0.54617095
Andorra,"Switzerland, Liechtenstein",6109,3.775943,3.273756
Angola,Cameroon,8517,1.300684,5.976294
Angola,"China, Hong Kong SAR",8517,19.751213,13.017924
