FlagOfRegistration_Label,2019_Percentage_of_global_fleet_value_Value,2020_Percentage_of_global_fleet_value_Value,2021_Percentage_of_global_fleet_value_Value
"Individual economies",,,
"Albania",0,0,0
"Algeria",0.09,0.09,0.08
"Angola",0,0,0
"Anguilla",0,0,0
"Antigua and Barbuda",0.42,0.33,0.31
"Argentina",0.02,0.03,0.03
"Australia",0.76,0.71,0.68
"Azerbaijan",0.1,0.09,0.08
"Bahamas",8.78,8.87,7.9
"Bahrain",0.06,0.07,0.05
"Bangladesh",0.07,0.1,0.12
"Barbados",0.06,0.07,0.08
"Belgium",0.4,0.37,0.33
"Belize",0.12,0.1,0.12
"Bermuda",1.64,1.48,1.52
"Bolivia (Plurinational State of)",0.01,0.01,0.01
"Brazil",0.53,0.55,0.48
"British Virgin Islands",,0,0
"Brunei Darussalam",0.06,0.06,0.05
"Bulgaria",0,0,0
"Cabo Verde",0,0,0
"Cambodia",0.01,0.01,0.01
"Cameroon",0,0.01,0.02
"Canada",0.36,0.33,0.32
"Cayman Islands",0.38,0.35,0.29
"Chile",0.07,0.07,0.07
"China",4.46,4.83,5.16
"China, Hong Kong SAR",7.04,6.89,7.18
"China, Macao SAR",0,0,0
"China, Taiwan Province of",0.19,0.21,0.26
"Colombia",0,0,0
"Comoros",0.02,0.08,0.03
"Congo",0,0,0
"Cook Islands",0.04,0.03,0.04
"Costa Rica",0,0,0
"Croatia",0.09,0.08,0.06
"Cuba",0,0.01,0.01
"Curacao",0.17,0.17,0.16
"Cyprus",1.52,1.46,1.53
"Dem. People's Rep. of Korea",0.03,0.02,0.02
"Dem. Rep. of the Congo",0,0,0
"Denmark",1.35,1.39,1.48
"Djibouti",0,0,0.02
"Dominica",0.02,0.02,0.01
"Dominican Republic",0,0,0
"Ecuador",0.03,0.04,0.04
"Egypt",0.06,0.05,0.05
"Equatorial Guinea",0,0,0
"Eritrea",0,0,0
"Estonia",0.09,0.09,0.08
"Ethiopia",0.02,0.02,0.01
"Falkland Islands (Malvinas)",0,,
"Faroe Islands",0.05,0.04,0.04
"Fiji",0.01,0.01,0.01
"Finland",0.21,0.18,0.15
"France",0.55,0.57,0.62
"French Polynesia",0.01,0.01,0.01
"French Southern Territories",0,0,
"Gabon",0,0.01,0.01
"Gambia",0.01,0.01,0.01
"Georgia",0,0,0
"Germany",0.42,0.44,0.48
"Ghana",0,0,0
"Gibraltar",0.23,0.18,0.16
"Greece",2.12,2.22,1.91
"Greenland",0,0,0
"Guyana",0.01,0,0
"Honduras",0.01,0.01,0.01
"Iceland",0,0.01,0.01
"India",0.53,0.5,0.5
"Indonesia",0.99,0.99,1.08
"Iran (Islamic Republic of)",0.1,0.32,0.35
"Iraq",0.01,0.01,0.01
"Ireland",0.03,0.03,0.03
"Isle of Man",1.33,1.2,1.08
"Israel",0.01,0.01,0.02
"Italy",2.07,2.08,2.03
"Jamaica",0.01,0.01,0.01
"Japan",1.88,1.86,1.75
"Jordan",0.01,0.01,0.01
"Kazakhstan",0.02,0.02,0.01
"Kenya",0,0,0
"Kiribati",0.01,0.01,0.01
"Kuwait",0.1,0.12,0.13
"Latvia",0.01,0.01,0.01
"Lebanon",0,0,0
"Liberia",8.55,9.19,10.06
"Libya",0.09,0.08,0.07
"Lithuania",0.03,0.03,0.03
"Luxembourg",0.23,0.2,0.21
"Madagascar",,0,0
"Malaysia",0.91,0.81,0.8
"Maldives",0,0,0
"Malta",6.03,6.54,6.56
"Marshall Islands",11.31,10.98,10.49
"Mauritius",0.01,0.01,0.01
"Mexico",0.16,0.2,0.19
"Micronesia (Federated States of)",0,0,0
"Mongolia",0.02,0.02,0.02
"Montenegro",0.01,0.01,0.01
"Morocco",0.01,0.01,0.01
"Mozambique",0,0,0
"Myanmar",0.01,0.01,0.01
"Namibia",0,0,0
"Nauru",0,0,0
"Netherlands (Kingdom of the)",1.27,1.13,1.01
"New Caledonia",0,0,0
"New Zealand",0.02,0.02,0.02
"Nicaragua",0,,
"Nigeria",0.54,0.5,0.78
"Niue",0.01,0.01,0.01
"Norway",2.48,2.63,2.52
"Oman",0,0,0
"Pakistan",0.01,0.02,0.02
"Palau",0.04,0.04,0.04
"Panama",14.23,13.42,13.65
"Papua New Guinea",0.01,0.01,0.01
"Paraguay",0,0.01,0
"Peru",0.01,0.01,0.01
"Philippines",0.32,0.34,0.32
"Poland",0,0,0.01
"Portugal",0.81,0.81,1.05
"Qatar",0.05,0.04,0.04
"Republic of Korea",0.48,0.5,0.6
"Republic of Moldova",0.01,0.01,0.01
"Romania",0,0,0
"Russian Federation",0.63,0.65,0.74
"Saint Kitts and Nevis",0.02,0.08,0.03
"Saint Vincent and the Grenadines",0.18,0.17,0.16
"Samoa",0,0,0
"Sao Tome and Principe",0,0,0.01
"Saudi Arabia",0.3,0.31,0.27
"Senegal",0,0,0
"Seychelles",0.01,0.01,0.01
"Sierra Leone",0.06,0.05,0.06
"Singapore",5.89,6.38,6.35
"Solomon Islands",0,0,0
"South Africa",0.02,0.02,0.02
"Spain",0.32,0.31,0.27
"Sri Lanka",0.02,0.02,0.01
"Sudan",0,0,0
"Suriname",0,0,0
"Sweden",0.23,0.23,0.21
"Switzerland",0.05,0.04,0.03
"Syrian Arab Republic",0,0,0
"Thailand",0.15,0.15,0.15
"Timor-Leste",0,,
"Togo",0.04,0.04,0.05
"Tonga",0,0,0
"Trinidad and Tobago",0.01,0,0.01
"Tunisia",0.04,0.03,0.03
"Turkiye",0.42,0.38,0.33
"Turkmenistan",0.02,0.02,0.02
"Tuvalu",0.1,0.09,0.09
"Ukraine",0.01,0.01,0.01
"United Arab Emirates",0.09,0.09,0.09
"United Kingdom",1.79,1.29,1.28
"United Republic of Tanzania",0.02,0.02,0.03
"United States",0.99,0.96,0.94
"Uruguay",0.01,0.01,0.01
"Vanuatu",0.25,0.19,0.15
"Venezuela (Bolivarian Rep. of)",0.06,0.05,0.04
"Viet Nam",0.38,0.37,0.36
"Wallis and Futuna Islands",,,0
"Yemen",0,0,0
